id,title,title_local,year,venue,status,source_type,primary_route,routes,level,tier,evidence_level,paper_url,doi,code_url,project_url,data_url,figure_url,source_note
balestriero-2025-gaussian-embeddings,Gaussian Embeddings: How JEPAs Secretly Learn Your Data Density,高斯嵌入：JEPA如何隐式学习数据密度,2025,arXiv,preprint,preprint,theory-objectives,theory-objectives,0,bridge,B,https://arxiv.org/abs/2510.05949,,,,,,主入口为arXiv预印本；结论按作者主张表述。
van-assel-2025-joint-vs-reconstruction,Joint-Embedding vs Reconstruction: Provable Benefits of Latent Space Prediction for Self-Supervised Learning,联合嵌入与重建：潜在空间预测的可证明优势,2025,NeurIPS 2025,peer-reviewed,paper,theory-objectives,theory-objectives|evaluation-evidence,0,core,A,https://openreview.net/forum?id=UOaLsgn5wb,,,,,,OpenReview记录标注为NeurIPS 2025 spotlight；地图仅外推论文明确分析的条件。
littwin-2024-noisy-features,How JEPA Avoids Noisy Features: The Implicit Bias of Deep Linear Self Distillation Networks,JEPA如何避开噪声特征：深线性自蒸馏网络的隐式偏置,2024,NeurIPS 2024,peer-reviewed,paper,theory-objectives,theory-objectives|evaluation-evidence,0,core,A,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a600f0f740605205133553cb74a1c107-Abstract-Conference.html,,,,,,主入口为NeurIPS正式论文页；理论结论适用于论文明确给出的深线性设定。
lecun-2022-ami,A Path Towards Autonomous Machine Intelligence,通向自主机器智能的路径,2022,OpenReview技术报告,official-report,official-report,theory-objectives,theory-objectives|action-control,0,core,B,https://openreview.net/forum?id=BZ5a1r-kVsf,,,,,,主入口为作者公开的OpenReview技术报告；非同行评议论文，地图仅把其作为概念源头。
sobal-2022-slow-features,Joint Embedding Predictive Architectures Focus on Slow Features,联合嵌入预测架构偏向慢变化特征,2022,NeurIPS 2022自监督学习研讨会,preprint,preprint,theory-objectives,theory-objectives|evaluation-evidence,0,core,B,https://arxiv.org/abs/2211.10831,,,,,,以arXiv为稳定主入口；曾发表于NeurIPS 2022相关研讨会，未按正式主会论文标注。
balestriero-2025-lejepa,LeJEPA: Provable and Scalable Self-Supervised Learning Without the Heuristics,LeJEPA：无需启发式技巧的可证明可扩展自监督学习,2025,arXiv,preprint,preprint,theory-objectives,theory-objectives|image-representation,1,core,B,https://arxiv.org/abs/2511.08544,,https://github.com/galilai-group/lejepa,,,,以arXiv与作者代码为一手入口；截至截止日仍按预印本标注。
li-2026-salt,Rethinking JEPA: Compute-Efficient Video SSL with Frozen Teachers,重新思考JEPA：使用冻结教师的计算高效视频自监督学习,2026,ICLR 2026,peer-reviewed,paper,theory-objectives,theory-objectives|video-spatiotemporal|evaluation-evidence,2,core,A,https://openreview.net/forum?id=3cB9243E9i,,,,,,主入口为ICLR 2026正式OpenReview记录；作为视频JEPA教师机制的直接反证纳入。
kalapos-2026-cnn-jepa,Exploring Joint Embedding Predictive Architectures for Pretraining Convolutional Neural Networks,探索用于卷积神经网络预训练的联合嵌入预测架构,2026,Computer Vision and Image Understanding,peer-reviewed,paper,image-representation,image-representation,1,background,A,https://doi.org/10.1016/j.cviu.2025.104595,,,,,,以期刊DOI为主入口；2024年的CNN-JEPA预印本视为同一工作族前序版本。
huang-2026-text-conditional-jepa,Text-Conditional JEPA for Learning Semantically Rich Visual Representations,文本条件JEPA学习语义丰富的视觉表征,2026,ICML 2026,peer-reviewed,paper,image-representation,image-representation|cross-domain,1,bridge,A,https://arxiv.org/abs/2605.03245,,,https://machinelearning.apple.com/research/text-conditional-jepa-visual-representations,,,主入口为论文预印本和作者机构页面；正式状态按ICML 2026核验。
darcet-2025-capi,Cluster and Predict Latent Patches for Improved Masked Image Modeling,聚类并预测潜在图块以改进掩码图像建模,2025,Transactions on Machine Learning Research,peer-reviewed,paper,image-representation,image-representation|theory-objectives,1,bridge,A,https://openreview.net/forum?id=Ycmz7qJxUQ,,,,,,OpenReview记录显示被TMLR接收；作为潜在目标建模的邻接桥梁纳入。
chen-2025-djepa,Denoising with a Joint-Embedding Predictive Architecture,使用联合嵌入预测架构进行去噪,2025,ICLR 2025,peer-reviewed,paper,image-representation,image-representation|theory-objectives,1,bridge,A,https://openreview.net/forum?id=d4njmzM7jf,,,,,,OpenReview记录标注为ICLR 2025 poster。
mo-2024-cjepa,Connecting Joint-Embedding Predictive Architecture with Contrastive Self-supervised Learning,连接联合嵌入预测架构与对比自监督学习,2024,NeurIPS 2024,peer-reviewed,paper,image-representation,image-representation|theory-objectives,1,bridge,A,https://proceedings.neurips.cc/paper_files/paper/2024/hash/04a80267ad46fc730011f8760f265054-Abstract-Conference.html,,,,,,主入口为NeurIPS正式论文页。
bar-2024-stop,Stochastic Positional Embeddings Improve Masked Image Modeling,随机位置嵌入改善掩码图像建模,2024,ICML 2024,peer-reviewed,paper,image-representation,image-representation|theory-objectives,1,bridge,A,https://proceedings.mlr.press/v235/bar24a.html,,https://github.com/amirbar/StoP,,,,主入口为PMLR正式ICML论文页。
assran-2023-ijepa,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,基于联合嵌入预测架构的图像自监督学习,2023,CVPR 2023,peer-reviewed,paper,image-representation,image-representation|theory-objectives,1,core,A,https://openaccess.thecvf.com/content/CVPR2023/html/Assran_Self-Supervised_Learning_From_Images_With_a_Joint-Embedding_Predictive_Architecture_CVPR_2023_paper.html,,https://github.com/facebookresearch/ijepa,,,,主入口为CVF正式论文页；代码为作者机构公开仓库。
garrido-2024-iwm,Learning and Leveraging World Models in Visual Representation Learning,在视觉表征学习中学习并利用世界模型,2024,arXiv,preprint,preprint,image-representation,image-representation|action-control,3,bridge,B,https://arxiv.org/abs/2403.00504,,,,,,主入口为arXiv；地图把其视为从静态表征到动作条件预测的桥接工作。
tristram-2026-pjepa,P-JEPA: Procedural Video Representation Learning via Joint Embedding Predictive Architecture,P-JEPA：面向流程视频的联合嵌入预测表征学习,2026,arXiv,preprint,preprint,video-spatiotemporal,video-spatiotemporal,2,background,B,https://arxiv.org/abs/2606.23256,,,,,,主入口为arXiv预印本；作为长视频方向代表，而非成熟主干方法。
mur-labadia-2026-vjepa21,V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,V-JEPA 2.1：释放视频自监督学习中的稠密特征,2026,arXiv,preprint,preprint,video-spatiotemporal,video-spatiotemporal|action-control,2,bridge,B,https://arxiv.org/abs/2603.14482,,https://github.com/facebookresearch/vjepa2,,,,主入口为arXiv，代码为作者机构仓库；截至截止日按预印本标注。
bardes-2024-vjepa,Revisiting Feature Prediction for Learning Visual Representations from Video,重新审视用于视频视觉表征学习的特征预测,2024,Transactions on Machine Learning Research,peer-reviewed,paper,video-spatiotemporal,video-spatiotemporal|image-representation,2,core,A,https://openreview.net/forum?id=QaCCuDfBk2,,https://github.com/facebookresearch/jepa,,,,OpenReview记录显示已被TMLR接收；数值取自论文摘要，代码入口为作者机构仓库。
bardes-2023-mcjepa,MC-JEPA: A Joint-Embedding Predictive Architecture for Self-Supervised Learning of Motion and Content Features,MC-JEPA：联合学习运动与内容特征,2023,arXiv,preprint,preprint,video-spatiotemporal,video-spatiotemporal|image-representation,2,bridge,B,https://arxiv.org/abs/2307.12698,,,,,,主入口为arXiv；未把投稿记录误标为正式同行评议。
