candidate_id,title,decision,reason_code,canonical_id,source_url,checked_at,notes
lecun-2022-ami,JEPA蓝图,include,concept-anchor,lecun-2022-ami,https://openreview.net/forum?id=BZ5a1r-kVsf,2026-08-12,官方报告非同行评议
sobal-2022-slow-features,慢特征反例,include,negative-evidence,sobal-2022-slow-features,https://arxiv.org/abs/2211.10831,2026-08-12,合成反例与捷径边界
littwin-2024-noisy-features,高影响特征偏置,include,theory-core,littwin-2024-noisy-features,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a600f0f740605205133553cb74a1c107-Abstract-Conference.html,2026-08-12,正式理论论文
van-assel-2025-joint-vs-reconstruction,联合嵌入对照重建,include,theory-core,van-assel-2025-joint-vs-reconstruction,https://openreview.net/forum?id=UOaLsgn5wb,2026-08-12,正式受控理论比较
balestriero-2025-gaussian-embeddings,高斯嵌入,include,theory-frontier,balestriero-2025-gaussian-embeddings,https://arxiv.org/abs/2510.05949,2026-08-12,预印本理论
balestriero-2025-lejepa,LeJEPA,include,theory-core,balestriero-2025-lejepa,https://arxiv.org/abs/2511.08544,2026-08-12,预印本与公开代码
assran-2023-ijepa,I-JEPA,include,image-core,assran-2023-ijepa,https://openaccess.thecvf.com/content/CVPR2023/html/Assran_Self-Supervised_Learning_From_Images_With_a_Joint-Embedding_Predictive_Architecture_CVPR_2023_paper.html,2026-08-12,图像主干锚点
garrido-2024-iwm,IWM,include,image-bridge,garrido-2024-iwm,https://arxiv.org/abs/2403.00504,2026-08-12,变换条件桥梁
mo-2024-cjepa,C-JEPA,include,collapse-audit,mo-2024-cjepa,https://proceedings.neurips.cc/paper_files/paper/2024/hash/04a80267ad46fc730011f8760f265054-Abstract-Conference.html,2026-08-12,正式防坍塌混合
chen-2025-djepa,D-JEPA,include,generative-boundary,chen-2025-djepa,https://openreview.net/forum?id=d4njmzM7jf,2026-08-12,生成式边界
bardes-2023-mcjepa,MC-JEPA,include,video-bridge,bardes-2023-mcjepa,https://arxiv.org/abs/2307.12698,2026-08-12,运动与内容联合预印本
bardes-2024-vjepa,V-JEPA,include,video-core,bardes-2024-vjepa,https://openreview.net/forum?id=QaCCuDfBk2,2026-08-12,TMLR正式版本
ghaemi-2025-seq-jepa,seq-JEPA,include,video-action-bridge,ghaemi-2025-seq-jepa,https://proceedings.neurips.cc/paper_files/paper/2025/hash/2f63d2963526bdd9ff1b8bcc2dc9905a-Abstract-Conference.html,2026-08-12,不变与等变分离
mur-labadia-2026-vjepa21,V-JEPA 2.1,include,video-frontier,mur-labadia-2026-vjepa21,https://arxiv.org/abs/2603.14482,2026-08-12,稠密特征预印本
tristram-2026-pjepa,P-JEPA,include,long-video-frontier,tristram-2026-pjepa,https://arxiv.org/abs/2606.23256,2026-08-12,流程长视频预印本
zhou-2025-dino-wm,DINO-WM,include,control-bridge,zhou-2025-dino-wm,https://proceedings.mlr.press/v267/zhou25t.html,2026-08-12,非JEPA品牌但机制直接
sobal-2025-reward-free-planning,无奖励离线规划,include,control-core,sobal-2025-reward-free-planning,https://proceedings.neurips.cc/paper_files/paper/2025/hash/3e7cf447f21cd11c846463affefce665-Abstract-Conference.html,2026-08-12,PLDM正式比较
assran-2025-vjepa2,V-JEPA 2,include,control-core,assran-2025-vjepa2,https://arxiv.org/abs/2506.09985,2026-08-12,预印本含动作条件子方法
bagatella-2026-td-jepa,TD-JEPA,include,rl-core,bagatella-2026-td-jepa,https://openreview.net/forum?id=SzXDuBN8M1,2026-08-12,ICLR正式零样本强化学习
maes-2026-leworldmodel,LeWorldModel,include,control-frontier,maes-2026-leworldmodel,https://arxiv.org/abs/2603.19312,2026-08-12,端到端预印本
